url;ID;Operacion;Propiedad;Titulo;Currency;Precio;Ubicacion;Antiguedad;Superficie total;Superficie útil;Dormitorios;Baños
https://www.portalinmobiliario.com/MLC-2761742716-gran-casa-para-remodelar-uso-habitacional-o-comer-_JM;2761742716;Venta;Casas;Gran Casa Para Remodelar, Uso Habitacional O Comer...;CLP;159000000;Punta Arenas, Punta Arenas, Magallanes;68;312;134;4;1
https://www.portalinmobiliario.com/MLC-2771071974-casa-en-venta-sector-sur-_JM;2771071974;Venta;Casas;Casa En Venta Sector Sur;CLP;117000000;Punta Arenas, Punta Arenas, Magallanes;8;150;67;3;1
https://www.portalinmobiliario.com/MLC-2644125478-gran-casona-ideal-para-hostal-_JM;2644125478;Venta;Casas;Gran Casona Ideal Para Hostal;UF;16000;Punta Arenas, Punta Arenas, Magallanes;22;599;242;7;2
https://www.portalinmobiliario.com/MLC-1546271449-casa-con-destino-comercial-punta-arenas-_JM;1546271449;Venta;Casas;Casa Con Destino Comercial Punta Arenas;UF;6695;Punta Arenas, Punta Arenas, Magallanes;0;187;187;3;1
https://www.portalinmobiliario.com/MLC-1500453703-casa-sector-rio-seco-punta-arenas-_JM;1500453703;Venta;Casas;Casa Sector Río Seco, Punta Arenas;CLP;215000000;Bernardo Philippi 1 - 300, Punta Arenas, Magallanes Y La Antártica Chilena, Chile, Punta Arenas, Magallanes;;375;190;4;2
https://www.portalinmobiliario.com/MLC-2783355572-centro-medico-bulnes-gran-propiedad-comercial-punta-arena-_JM;2783355572;Venta;Casas;Centro Médico Bulnes, Gran Propiedad Comercial Punta Arena;CLP;495000000;Pedro Sarmiento De Gamboa, Punta Arenas, Punta Arenas, Magallanes;28;625;250;4;3
https://www.portalinmobiliario.com/MLC-1463410245-casa-amplia-punta-arenas-apta-para-comercio-_JM;1463410245;Venta;Casas;Casa Amplia Punta Arenas Apta Para Comercio;CLP;395000000;Miraflores 441, Punta Arenas, Chile, Punta Arenas, Magallanes;1.977;450;292;5;2
https://www.portalinmobiliario.com/MLC-1552356447-casa-en-punta-arenas-hasta-100-de-financiamiento-_JM;1552356447;Venta;Casas;Casa En Punta Arenas. Hasta 100% De Financiamiento.;UF;8037;Calle Interior 2, Villa Alto Bulnes., Punta Arenas, Magallanes;;238;115;3;3
https://www.portalinmobiliario.com/MLC-2765354618-casa-en-punta-arenas-hasta-100-financiamiento-_JM;2765354618;Venta;Casas;Casa En Punta Arenas. Hasta 100% Financiamiento.;UF;7780;;;375;250.69;0;0
https://www.portalinmobiliario.com/MLC-1535020693-en-venta-amplia-casa-punta-arenas-140-millones-_JM;1535020693;Venta;Casas;En Venta Amplia Casa, Punta Arenas, $ 140 Millones;CLP;140000000;Mariano Egaña, Eusebio Lillo, Punta Arenas, Magallanes;55;340;120;5;2
